# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	334
#@/user_id	151ce42f-d6fe-47fb-985a-47967f8fde4b
shuo 	說	c=2 d=0.765345 t=334
suo 	鎖	c=5 d=3.54561 t=334
ta 	他	c=1 d=0.609571 t=334
tai wan ren 	臺灣人	c=1 d=0.744532 t=334
tan 	談	c=2 d=0.937067 t=334
ti 	提	c=1 d=0.600496 t=334
tiao zheng 	調整	c=1 d=0.687289 t=334
tu zhong 	途中	c=1 d=1 t=279
wang shang 	網上	c=1 d=1 t=308
wei 	爲	c=1 d=1 t=163
wei shen me 	爲什麼	c=1 d=0.729789 t=334
wei xin 	微信	c=2 d=1.09505 t=334
wen bie ren 	問別人	c=1 d=1 t=243
wen ti 	問題	c=2 d=1.87372 t=236
wen tuo 	穩妥	c=1 d=1 t=153
wen wo 	問我	c=1 d=1 t=207
wo 	我	c=15 d=7.69961 t=334
wo men 	我們	c=0 d=0.199501 t=159
wo men zhe 	我們這	c=1 d=1 t=159
wo men zhe hang 	我們這行	c=1 d=1 t=160
wu qi bu you 	無奇不有	c=1 d=1 t=247
xian e 	險惡	c=1 d=1 t=249
xian zai 	現在	c=1 d=0.847894 t=334
xiang mu 	項目	c=3 d=1.41276 t=334
xiang xiang 	想想	c=1 d=1 t=190
xiao 	小	c=0 d=0.1 t=258
xiao nian qing 	小年輕	c=1 d=1 t=259
xin li 	心理	c=1 d=0.546074 t=334
xin tai 	心態	c=1 d=1 t=263
xiu 	修	c=1 d=1 t=325
xiu hao 	修好	c=1 d=0.680451 t=334
xu yao 	需要	c=1 d=1 t=129
ya gen 	牙根	c=2 d=1.85642 t=202
yao shuo 	要說	c=1 d=0.733447 t=334
ye 	也	c=1 d=1 t=303
ye ji 	業績	c=1 d=1 t=165
ye shi 	也是	c=1 d=0.715338 t=334
yi ban 	一般	c=1 d=0.873716 t=334
yi ci 	一次	c=1 d=1 t=189
yi da dui 	一大堆	c=1 d=1 t=208
yi dian 	一點	c=1 d=1 t=273
yi ge 	一個	c=1 d=1 t=312
yi ge yue 	一個月	c=1 d=1 t=156
yi kan 	一看	c=1 d=1 t=253
yi qian 	以前	c=1 d=1 t=185
yi shi ban hui 	一時半會	c=1 d=0.798516 t=334
yin wei 	因爲	c=1 d=0.831104 t=334
ying gai 	應該	c=1 d=1 t=269
you 	有	c=1 d=1 t=139
you dian 	有點	c=1 d=0.591555 t=334
you yi ge 	有一個	c=1 d=1 t=294
yu dao 	遇到	c=1 d=1 t=235
yuan cheng 	遠程	c=1 d=1 t=182
yue 	月	c=1 d=0.597501 t=334
yue fen 	月份	c=2 d=1.49447 t=334
za 	咋	c=1 d=1 t=305
zai 	再	c=1 d=0.628135 t=334
zen me 	怎麼	c=1 d=1 t=238
zhang 	長	c=2 d=1.23795 t=334
zhang hao 	帳號	c=1 d=1 t=295
zhao 	找	c=1 d=1 t=310
zhao 	着	c=1 d=1 t=309
zhao gong zuo 	找工作	c=1 d=1 t=194
zhao ren 	招人	c=0 d=0.1 t=203
zhe 	這	c=1 d=0.814647 t=334
zhe bu shi 	這不是	c=1 d=0.640824 t=334
zhe hang 	這行	c=0 d=0.1 t=159
zhe shi 	這是	c=1 d=1 t=127
zhen 	真	c=1 d=1 t=244
zheng zai 	正在	c=1 d=0.683861 t=334
zhi da 	之大	c=1 d=1 t=246
zhuan 	賺	c=1 d=1 t=321
zi ji 	自己	c=2 d=1.6005 t=232
zou 	走	c=1 d=0.582748 t=334
zui xin 	最新	c=1 d=1 t=274
zuo 	做	c=2 d=0.842027 t=334
